static, strong, nominative, nominal, safe, manifest;Java (programming language)
none;MIIS (programming language)
none;MIMIC
none;MIRC scripting language
none;MIVA Script
none;ML (programming language)
none;MPD (programming language)
none;MUMPS
none;MUMPS (programming language)
none;M Sharp (programming language)
none;Machine code
none;Macsyma
none;Magik (programming language)
none;Magma computer algebra system
none;Make (software)
none;Maple (software)
none;Markup language
none;Mathcad
none;Mathematica
none;Maude system
none;Max (software)
none;Maxima (software)
none;Maya Embedded Language
none;Mesa (programming language)
none;MetaQuotes Language MQL4/MQL5
none;Metafont
none;MicroScript (programming language)
none;Microassembler
none;Microsoft Macro Assembler
none;Milk (programming language)
none;Miranda (programming language)
none;Model 204
none;Modelica
none;Modula
none;Modula-3
none;Mohol programming languages
none;Mortran
none;Mouse (programming language)
none;MuPAD
none;Mystic BBS
none;NESL
none;NEWP
none;NORD Programming Language
none;NXT-G
none;Napier88
none;Nemerle
none;NesC
none;Net.Data
none;Netwide Assembler
none;NewLISP
none;Newspeak (programming language)
none;Nial
none;Nice (programming language)
none;Non-English-based programming languages
none;Not Quite C
none;Not eXactly C
none;Nu (programming language)
none;Nullsoft Scriptable Install System
none;O:XML
none;OBJ2
none;OCaml
none;OPS5
none;ORCA/Modula-2
none;Oak (programming language)
none;ObjectLOGO
none;Object Lisp
none;Object Pascal
none;Object REXX
none;Objective-J
none;Occam-π
none;Occam (programming language)
none;OmniMark
none;Onyx (programming language)
none;Opal (programming language)
none;OpenCL
none;OpenEdge Advanced Business Language
none;OpenVera
none;Open Programming Language
none;OptimJ
none;Orc (programming language)
none;Oriel (scripting language)
none;Oxygene (programming language)
none;P4 (programming language)
none;PARI/GP
none;PCASTL
none;PEARL (programming language)
none;PIKT
none;PILOT
none;PL-11
none;PL/0
none;PL/C
none;PL/I
none;PL/M
none;PL/P
none;PL/SQL
none;PL360
none;PLANC
none;PLEXIL
none;PLEX (programming language)
none;POP-11
none;POP-2
none;POV-Ray
none;PROIV
none;PROMAL
none;PROSE modeling language
none;P (programming language)
none;Parallax Propeller
none;PeopleCode
none;Perl 6
none;Perl Data Language
none;Pharo
none;Pico (programming language)
none;Picolisp
none;Pig (programming tool)
none;Pizza (programming language)
none;Plankalkül
none;Planner (programming language)
none;Plus (programming language)
none;Polymorphic Programming Language
none;PowerBuilder
none;PowerShell
none;Powerhouse (programming language)
none;Pro*C
none;Processing.js
none;Programming Language for Business
none;Programming language for Computable Functions
none;Prograph
none;Prolog
none;Promela
none;Protel
none;PureBasic
none;Pure Data
none;P′′
none;Q (equational programming language)
none;Qalb (programming language)
none;QtScript
none;QuakeC
none;Quantum programming
none;R++
none;RAPID
none;REBOL
none;REFAL
none;REXX
none;ROOP (programming language)
none;RTL/2
none;Rapira
none;Ratfiv
none;Ratfor
none;Rc
none;Red (programming language)
none;Reia (programming language)
none;Ring (programming language)
none;Rlab
none;Robot Battle
none;Ruby (programming language)
none;RuneScript
none;Rust (programming language)
none;S-Lang (programming language)
none;S-PLUS
none;S/SL programming language
none;S2 (programming language)
none;S3 (programming language)
none;SA-C (programming language)
none;SAIL (programming language)
none;SALSA (programming language)
none;SAM76
none;SASL (programming language)
none;SAS System
none;SETL
none;SIGNAL (programming language)
none;SIMSCRIPT
none;SLIP (programming language)
none;SMALL
none;SNOBOL
none;SOPHAEROS
none;SPITBOL compiler
none;SQL
none;SQR
none;SR (programming language)
none;SYMPL
none;S (programming language)
none;SabreTalk
none;Sawzall (programming language)
none;Scilab
none;Scratch (programming language)
none;Secure Operations Language
none;Sed
none;Seed7
none;Self (programming language)
none;SenseTalk
none;Shell script
none;SiMPLE
none;Simula
none;Simulink
none;Singularity (operating system)
none;Snowball programming language
none;Solidity
none;Speedcoding
none;Starlogo
none;Stata
none;Stateflow
none;Strand (programming language)
none;Subtext (programming language)
none;SuperCollider
none;SuperTalk
none;Superbase database
none;Swift (programming language)
none;TACL
none;TACPOL (programming language)
none;TADS
none;TELCOMP
none;TMG (language)
none;TOM (object-oriented programming language)
none;TRAC (programming language)
none;TTCN
none;TTM (programming language)
none;TUTOR (programming language)
none;TXL (programming language)
none;Tcl
none;TeX
none;Tea (programming language)
none;TempleOS
none;Tensilica Instruction Extension
none;Text Editor and Corrector
none;Text Executive Programming Language
none;Text Processing Utility
none;Timeline of programming languages
none;Toi (programming language)
none;Tom (pattern matching language)
none;Transact-SQL
none;Transaction Application Language
none;Transcript (programming language)
none;Tynker
none;UCSD Pascal
none;UNITY (programming language)
none;Ubercode
none;Umple
none;Unicon (programming language)
none;Uniface (programming language)
none;Unix shell
none;UnrealScript
none;VHDL
none;VSXu
none;Vala (programming language)
none;Vim (text editor)
none;Visual Basic
none;Visual DataFlex
none;Visual DialogScript
none;Visual Fortran
none;Visual FoxPro
none;Visual J
none;Visual J++
none;Visual Objects
none;Visual Prolog
none;WATFIV (programming language)
none;WebAssembly
none;WebDNA
none;Winbatch
none;Wolfram Language
none;Wyvern (programming language)
none;X++
none;XBL
none;XBase
none;XBase++
none;XC Programming Language
none;XCore XS1
none;XHarbour
none;XL (programming language)
none;XOD (programming language)
none;XOTcl
none;XPL
none;XPL0
none;XPath
none;XQuery
none;XSB
none;XSL Transformations
none;XSharp
none;Xojo
none;Xtend
none;YQL (programming language)
none;Yoix
none;Yorick (programming language)
none;Z++
none;ZOPL
none;ZPL (programming language)
none;Z notation
none;Z shell
none;Zebra (programming language)
none;Zeno (programming language)
none;ZetaLisp
hybrid, strong;Clean (programming language)
hybrid, strong;LPC (programming language)
hybrid, strong;Racket (programming language)
hybrid, strong;Visual Basic .NET
static, strong, manifest;Cool (programming language)
static, strong, manifest;Fortran
strong, polymorphic;ABC (programming language)
static, manifest;Escher (programming language)
static, manifest;Turing (programming language)
static, strong, inferred;Curry (programming language)
static, strong, inferred;D (programming language)
static, strong, inferred;Opa (programming language)
static, strong, inferred;Standard ML
static, inferred, structural, duck;Crystal (programming language)
static, strong, polymorphic;Mercury (programming language)
static, strong, nominative, safe;SPARK (programming language)
static, inferred;Kotlin (programming language)
dynamic;ACL2
dynamic;Arc (programming language)
dynamic;Citrine (programming language)
dynamic;Etoys (programming language)
dynamic;Euler (programming language)
dynamic;F-Script (programming language)
dynamic;FL (programming language)
dynamic;IDL (programming language)
dynamic;Icon (programming language)
dynamic;Jq (programming language)
dynamic;LYaPAS
dynamic;MOO (programming language)
dynamic;Neko (programming language)
dynamic;NetLogo
dynamic;NewtonScript
dynamic;Oz (programming language)
dynamic;Perl
dynamic;R (programming language)
dynamic;Script.NET
dynamic;Snap! (programming language)
dynamic;Squeak
dynamic;Squirrel (programming language)
hybrid, weak;Objective-C
hybrid, strong, safe, string;NetRexx
string, none;AWK
string, none;Chomski
static, strong, structural, safe;Whiley (programming language)
static, strong;CHILL
static, strong;Emerald (programming language)
static, strong;Euclid (programming language)
static, strong;Mary (programming language)
static, strong;Modula-2
static, strong;ParaSail (programming language)
static, strong;Q Sharp
static, strong;SISAL
static, strong;SP/k
static, strong;Sather
dynamic, duck;JavaScript
dynamic, duck;Python (programming language)
static, weak;C--
static, weak;SystemVerilog
static, weak;Verilog
static;Alma-0
static;DIBOL
static;Fortress (programming language)
static;Gosu (programming language)
static;Nim (programming language)
static;Pict (programming language)
static;SequenceL
dynamic, strong;A+ (programming language)
dynamic, strong;Dylan (programming language)
dynamic, strong;E (programming language)
dynamic, strong;Emacs Lisp
